Target_Field,Source,Source_Field,Prefix,Format,Lookup_Table
ExtractDate,function,,,dd/mm/yyyy,
PublisherURI,constant,,http://opendatacommunities.org/id/county-council/hampshire,,
PublisherLabel,constant,,Hampshire,,
OrganisationURI,constant,,http://opendatacommunities.org/id/county-council/hampshire,,
OrganisationLabel,constant,,Hampshire,,
CaseReference,map,application_number,,,
CaseURL,concatenate,record_number,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=,,
CaseDate,map,received_date,,dd/mm/yyyy,
ServiceTypeURI,lookup,application_type,,,Lookup_Service.csv
ServiceTypeLabel,lookup,application_type,,,Lookup_Service.csv
ClassificationURI,lookup,dbo_lookup_stats_type_description,,,Lookup_Classification.csv
ClassificationLabel,lookup,dbo_lookup_stats_type_description,,,Lookup_Classification.csv
CaseText,map,proposal,,,
LocationText,map,location,,,
DecisionTargetDate,map,expiry_date,,dd/mm/yyyy,
Status,blank,,,,
CoordinateReferenceSystem,constant,,OSGB36,,
GeoX,blank,,,,
GeoY,blank,,,,
GeoPointLicensingURL,constant,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,
DecisionDate,blank,,,,
Decision,lookup,Expr1017,,,Lookup_Decision.csv
DecisionType,lookup,Expr1016,,,Lookup_Decision.csv
DecisionNoticeDate,map,notice_date,,dd/mm/yyyy,
AppealRef,map,dbo_pla_planning_appeal_number,,,
AppealDecisionDate,blank,,,,
AppealDecision,blank,,,,
GeoAreaURI,blank,,,,
GeoAreaLabel,blank,,,,
GroundArea,map,site_area,,,
UPRN,blank,,,,
Agent,map,name,,,
PublicConsultationStartDate,blank,,,,
PublicConsultationEndDate,map,consults_expiry_date,,dd/mm/yyyy,
ResponsesFor,blank,,,,
ResponsesAgainst,blank,,,,
